n4665450,雪笠、公鸣：信仰恒久 经年愈坚
n10899776,林辉：姚依林回忆“一二九运动”证实三件事
n10902151,龙延：中共道路是魔鬼的选择
n10903516,观雨堂主：一位历史学家在生命终点的“争宠”
n10899641,抗日战争期间中共做了啥？八年抗战期间中共作为大事纪要
n10919284,陋兰：当告密者成为英雄
n10925502,林辉：满清最后一位格格坐了十五年冤狱
n10927236,共产暴政录：文革初北京昌平和大兴县大屠杀
n10929549,传奇总统里根（4）：福利改革 全美效仿
n10932836,张林：间谍国（二）
n10936495,林辉：抗日名将殉国身后妻儿惨到乞讨
n10939788,共产暴政录：湖南道县大屠杀
n10947448,晓明：与晏乐斌先生谈广西屠杀及文革“处遗”
n10947759,传奇总统里根（5）：竞选总统 众望所归
n10955771,林辉：携美资料返国 中国石油之父最终绝望
n10959110,冯八飞：请问候劳鹤——真正的知识分子爱因斯坦
n10965227,林启山：刘义元卖妻
n10965703,共产暴政录：广西文革大屠杀事件
n10966582,林辉：文革一个为妻子报仇的普通军人之死
n10977994,林辉：一篇文章惹毛动怒 民间顾准拒辱自尽
n10979189,共产暴政录：许世友文革中的暴行
n10979206,共产暴政录：“五一六”反革命阴谋集团案
n10981686,两位古琴大师的悲剧：毁琴自尽 文革失踪
n10989886,共产暴政录：“清理阶级队伍”运动
n10990583,林辉：岳飞忠魂千古颂 中共侮辱英雄可憎
n10992365,殷毅：我在右派专列上
n10992445,（储安平之子）储望华：沉重的回忆
n10992360,传奇总统里根（7）: 唤醒苏联领导人
n10994378,陆文：迫害佛法最终害了自己
n10995753,九州：注定失败的共产主义
n10997801,林辉：国军重庆号巡洋舰官兵投共后的苦难
n11000789,共产暴政录：消灭思想先驱的“一打三反”
n11000755,文革处决纪录：非战争下的中国之最
n11004578,林辉：宁跳珠江也不批孔子的金石界大家
n11000879,共产暴政录：文革中究竟死了多少人
n11009341,阎长贵：陶铸是被谁打倒的？
n11010192,共产暴政录：计划生育是毁我中华的屠婴战争（上）
n11011288,林辉：西安军事叛变前夜毛收到张杨密电
n11010874,共产暴政录：计划生育是毁我中华的屠婴战争（下）
n11010920,共产暴政录：“六四屠城”的几个问题
n11020634,林辉：与张大千比肩的画坛宗师饮恨而终
n11010938,古罗马迫害基督徒与中共迫害法轮功对比
n11022591,玉清心：物理大师束星北 一曲悲怆的挽歌
n11027279,孙盛起：总会有无畏的勇士记录历史的真实
n11029000,林辉：救了毛周的人 结局大多很惨
n11029582,荟楠：快跑！祖国来了！
n11034634,林辉：样板戏李玉和阿庆嫂等扮演者的命运
n11031942,传奇总统里根（8）：向中国播撒自由精神
n11038748,邢诒心：作为地主崽的童年
n11038882,严家伟：我亲历的《星星诗刊》大冤案
n11042647,林辉：咏春拳文革遭遇是武林劫难的缩影
n11044461,钟声：他们晚年为何忏悔
n11045840,晓明：1968年广西阳朔杀惨案回顾
n11049930,林辉：被诬施“美人计”一家七口以死抗争
n11052730,王友群：按邓小平的说法 中共早该下台了
n11061288,林辉：毁黄帝炎帝陵 中共与中华民族水火不容
n11062047,严家伟：一位宁为玉碎的“右派”份子
n11070799,林辉：因如此荒诞理由 他们成为了“右派”
n11084381,林辉：中共这些“特别党员”效力后自取其辱
n11088075,野狐一禅：刻我心碑上的右派精英
n11093693,林辉：“口吞红太阳”与“领袖最脏”罪
n11098413,共产暴政录：唐山大地震曾被预测出来
n11100959,共产暴政录：唐山大地震前后之怪相
n11102523,马吉卫：难以平复的伤疤
n11108237,张林：疯狂中共两次差点让中国人被灭绝
n11108254,裴毅然：击碎“中国梦”的五反血案
n11108271,林辉：从农民吃光“忆苦饭”看中国农村真相
n11118849,严家伟：极权专制对中国新闻界的一次严厉打压
n11120824,共产暴政录：5.12汶川地震后 中共嫁祸法轮功
n11123506,林辉：朱德曾被德国驱逐 效力中共晚景凄凉
n11125994,谁是中华文化的最大破坏者？
n11128349,明白人：“纪念”“烧木炭”而死的张思德
n11133337,林辉：质疑文革 红卫兵头目被摘肾暴尸
n11134725,共产暴政录：东南亚排华的重要根源是共产党
n11140380,【征文】刘晓：传统文化中对修炼人的敬重
n11142951,共产暴政录：中共鼓励外国残害海外华人
n11148175,共产暴政录：印尼排华暴乱事件
n11148760,林辉：抗战时毒杀日外交官 英雄难逃中共毒手
n11167928,林辉：寿则多辱 鲁迅之弟周作人凄惨中死去
n11169990,共产暴政录：老挝华人共产前后的处境变化
n11170944,观雨堂主：周作人的悲剧抉择
n11176292,【征文】田园：《资治通鉴》中的传统智慧
n11191240,林辉：诬陷美国发动细菌战 毛周被打脸
n11180153,【征文】章阁：中国古代专制吗（上）
n11180163,【征文】章阁：中国古代专制吗（下）
n11213719,许茹：火灾爆炸频发京城连震 昭示奸佞当道
n11225005,林辉：中共高规格接待蒙古独裁者背后的丑行
n11208751,【征文】张东园：中国国学大师的血泪遭遇(4)
n11226848,共产暴政录：越共排华事件
n11223087,【征文】杨宁：中华文物之殇史无前例
n11232692,林辉：为延安贩卖鸦片的毒贩死前缘何喊冤？
n11208799,【征文】张东园：中国国学大师的血泪遭遇（5）
n11238561,金钟：南京“木马屠城”七十年
n11238642,晓明：文革中广西204地质勘探队惨绝人寰的凶杀案
n11101863,【征文】章阁：中共设风水乱局 破坏北京古城
n11241790,共产暴政录：柬共屠杀300万民众及30万华人
n11241913,【征文】袁斌：中共怎样用党文化取代传统文化
n11242732,【征文】张东园：孔子为什么不是无神论？
n11248062,共产暴政录：共产革命前后的古巴华人
n11248166,【征文】袁斌：中共是怎么炮制“英雄人物”的
n11242784,【征文】张东园：传统文化中的善恶有报事例
n11255834,颜丹：日本作家村上春树新作引发的中国效应
n11256379,观雨堂主：历史并未忘记
n11255006,【征文】凌晓辉：贞洁论（一）
n11261433,王维洛：孙越崎，学生领袖、煤油大王与三峡工程反对派的重要领军人物
n11263424,【征文】刘晓：古代侠士与侠义精神
n11256527,【征文】凌晓辉：贞洁论（二）
n11257087,【征文】凌晓辉：贞洁论（三）
n11270152,中共暴政录：支持苏俄入侵中国的中东路事件
n11257164,【征文】凌晓辉：贞洁论（四）
n11275879,林辉：中共对三千印度战俘进行红色洗脑
n11276054,金言：蒋介石当年在江西的惊人预言
n11234439,【征文】文宇：史上最公平的选官制——科举千年兴衰录（四）
n11257250,【征文】凌晓辉：贞洁论（五）
n11280593,观雨堂主：吴晗——不止是个人的悲哀
n11281981,共产暴政录：苏俄及中共分裂外蒙古
n11285995,杨宁：从市委书记出丑说被膜拜的延安真相
n11295844,沧海：折寿三十年与延寿三十年
n11290434,【征文】爱德华：金门战役共军惨败之迷
n11300386,林辉：大饥荒 中共却无偿送几内亚万吨大米
n11293536,【征文】元正戊：弦高退秦军救郑国后为何拒受重赏
n11306932,共产暴政录：共产党主导的三区叛乱
n11308535,金雁：“既得利益者”何以成为反对苏维埃的先锋?
n11326982,金言：香港反送中会引发“蝴蝶效应”？
n11293194,【征文】章阁：荒谬的社会发展“五阶段论”
n11329746,传奇总统里根（10）：一封家书承载使命
n11334759,宋征时：迟浩田披露中共出卖大面积北方领土
n11340254,林辉：抗共而逝的香港前主播让亲共港媒汗颜
n11350548,王友群：陈独秀等10位中共党魁的最后结局
n11356564,共产暴政录：三区叛乱和侵华日军攻势协调进行
n11362608,林辉：文革集邮也是罪过
n11132788,【征文】千百度：上古三代时期的天命观（2）
n11372651,新州：豢养特务作恶 中共卑鄙无耻
n11403580,共产暴政录：盛世才与国共两党的新疆分裂争夺战
n11403595,林辉：中共高官披露内幕 毛奢侈嫉妒唯我独尊
n11415356,共产暴政录：岳父全家被杀 盛世才本人善终
n11425658,李小刚：中国大饥荒饿死3755.8万人？！
n11428903,林辉：周恩来冷酷无情 亲手给荣高棠扣叛徒帽子
n11431635,共产暴政录：盛世才与新疆的几个待解问题
n11434332,俞元：与中共“求同存异” 无疑引狼入室
n11436585,李小刚：十年文革灾难性后果探究
n11437710,林辉：国民党撤至台湾后破获的中共渗透大案
n11444363,共产暴政录：中共积极响应北塔山入侵事件
n11444846,夏祷：2019火种：天象巨变（1）
n11446216,夏祷：2019火种：天象巨变（2）
n11446723,曹长青：美国成为唯一超强的秘密
n11196004,【征文】张东园：中国国学大师的血泪遭遇(1)
n11196766,【征文】张东园：中国国学大师的血泪遭遇(2)
n11449283,袁斌：巫宁坤们的遭遇告诉后人什么
n11196827,【征文】张东园：中国国学大师的血泪遭遇(3)
n11462628,可心：香港警察有选择“枪口抬高一寸”的权利
n11470069,共产暴政录：西藏问题
n11473593,林辉：六七香港红潮 新华社分社发动菠萝战
n11477432,共产暴政录：李大钊被绞死的真正原因
n11478084,翻译家巫宁坤爱国竟受难 历劫著书留警训
n11262822,【征文】兰音：传统社会中妻子的真实地位
n11481511,晓明：回顾历史，拒绝遗忘
n11512510,杨宁：从瑞典最豪华战舰沉没说中共的结局
n11232880,【征文】史上最公平选官制 科举千年兴衰录(1)
n11234376,【征文】文宇：科举千年兴衰录（二）
n11234388,【征文】文宇：科举千年兴衰录（三）
n11528891,观雨堂主：中共对中国与世界的公开掠夺
n11538169,福瑞德：探寻中国百年历史的真相
n11539349,共产暴政录：从毛泽东诗词谈中共卖国
n11539563,鸿路：最后的双十节
n11541717,林辉：中共70年前承诺建立美国式民主在哪里？
n11543039,颜智华：中国特大饥荒60周年祭（一）
n11546701,林辉：中共70年来杀了多少人？
n11552181,林辉：中共70年来卖国黑历史
n11293517,【征文】林辉：外国名人如此仰慕中华文化
n11559430,林辉： 中共70年来的成功与未遂政变
n11563735,林辉：中共70年来的弥天大谎
n11564392,凌晓辉：当代人类的天书（一）
n11566782,凌晓辉：当代人类的天书（二）
n11575471,可心：从中共建政日与纽伦堡宣判同日说起（上）
n11584537,颜智华：中国特大饥荒60周年祭（二）
n11590692,林辉：一个曾给毛献花女孩对父亲的忏悔
n11606736,林辉：文革天津非法监狱“六十三号”的罪恶
n11612784,袁斌：韦君宜的后悔与林牧的反思
n11600972,【历史回眸】赵紫阳赞港英统治模式和蒋经国
n11616592,可心：从中共建政日与纽伦堡宣判同日说起（下）
n11616929,颜智华：中国特大饥荒60周年祭（三）
n11622063,林辉：中共对赵州桥的破坏令人叹惋
n11629364,139号囚犯——红色影星赵丹的凄惨人生
n11630909,林辉：中共对万里长城的破坏与利用
n11631409,正元：中共匪帮非我中华之邦
n11647719,钟声：“服从命令”与“终身追责”
n11646873,中共暴政录：最奇葩的战争——战胜国送出国土
n11648921,林辉：国家足球队头号前锋文革缘何自杀？
n11656265,杨宁：东德国防部长之选择给中共军方的启示
n11660999,林辉：承天命演绎忠义豪情《水浒》为何被批？
n11701121,宁静：中共改编《天仙配》摧毁孝道败坏人伦
n11701848,袁斌：从《共产党宣言》看共产主义的破坏性
n11704965,宁静：《花为媒》被中共禁播十五年只为淫乱华夏
n11704921,启明：共产党注定灭亡
n11707479,林辉：上海中国国货公司创办人死于文革前
n11707614,宁静：刘三姐到底是“歌仙”还是红卫兵？
n11709371,袁斌：汉学家林培瑞认清中共谎言的觉醒之路
n11712979,严晓：田汉之死     
n11729917,袁斌：“南京事件”与所谓“四一二反革命政变”
n11693550,为中共效力的红色特工 后来怎么样了（1）
n11751711,张林：青少年被迫加入抗美援朝志愿军
n11757068,王友群：面对“八国联军”清军为何兵败如山倒
n11758706,张林：共军在朝鲜战争中丧生两百万（1）
n11747470,为中共效力的红色特工 后来怎么样了（2）
n11766427,张林：共军在朝鲜战争中丧生两百万（2）
n11772976,林辉：中共当年盘剥延安人 被骂很“黑”
n11760806,为中共效力的红色特工 后来怎么样了（3）
n11814019,夏林：中共是国民党大选惨败的根本原因
n11829466,刘博：别让切尔诺贝利重演
n11835336,王赫：庚子年首月 中共地动山摇
n11851768,大瘟疫德国两城曾同命运 为何今日迥异
n11858311,王友群：习仲勋等支持气功研究的内幕
n11859230,李清：中共肺炎的警示
n11874645,王友群：习近平的父亲被栽赃陷害16年
n11888452,“土改”和“文革”时的离奇报应
n11888963,王友群：唐山大地震是天灾更是人祸
n11903759,朱镕基发言3分钟被打成右派20年
n11925917,掸封尘：毛泽东和江青有一个共同嗜好
n11939875,“红色殿堂”里的刀光剑影
n11942777,掸封尘：江青“醋坛子”的能量究竟有多大
n11942655,毛泽东73岁生日自杀的周小舟
n11945594,中央文革小组组长陈伯达被判刑18年
n11957171,让生命根植于信仰 再谈战地祈祷显神迹
n11961957,王友群：为了活下去 邓朴方曾到中南海上访
n11967983,掸封尘：窑师傅为什么“急得大口吐血”
n11989040,王友群：上海市公安局长扬帆被关押25年之谜
n12005282,王友群：中共文革把大陆变为“东方疯人院”
n12006157,谭笑飞：中共的“抗疫”与“抗日”如出一辙
n12030496,王友群：先整习仲勋后“叛党自杀”的阎红彦
n12036033,掸封尘：“仇恨入心要发芽”
n12037096,掸封尘：上将被中将当众打耳光
n12039776,铭刻1967：“武汉渡江惨案”
n12040184,王友群：中共公安部长李震离奇死亡之谜
n12042701,关乐：没谱红色英雄谱选注
n12064994,乔亓：刘伯温救劫碑记新解
n12065542,金正恩若亡，朝鲜可能出现第三个水晶棺
n12063151,王友群：毛泽东、江青的秘书戚本禹坐牢18年
n12069322,掸封尘：为中共党魁毛泽东造水晶棺的惊人内幕
n12072150,掸封尘：瘟疫相伴，2020年“两会”讪讪来迟
n12072285,掸封尘：朝鲜战争中鲜为人知的金、彭斗
n12078204,王友群：中共创始人李达文革中被整死
n12089232,掸封尘：彭德怀怒吼“我不吃毛泽东的饭！”
n12095094,掸封尘：“胡汉三”的演技成全的欺世大谎
n12095397,王友群：1959年发生的涉江青特大政治案
n12114578,王友群：助中共赢辽沈战役被中共判无期的特务
n12125367,造锅甩锅姊妹篇：“卡廷惨案”到“中共病毒”
n12130433,王凤昌：为民国献身的中华英烈王泽浚将军
n12131739,王友群：公安部副部长徐子荣文革被整死之谜
n12135829,李江琳：中国人的仇美情绪从何而来
n12138808,二大爷：希特勒的1936：世界为何会坐视纳粹毁约
n12146726,王友群：选择投奔中共 一代英才自杀
n12148208,曾伯炎：起底两个30年
n12156258,宁先华：纪念六四，天安门拒绝遗忘
n12164714,张菁：东德秘密警察史塔西对个体的监控
n12166466,王友群：为中共唱赞歌的黄炎培一家9人挨整
n12171682,鲍彤：闯祸不认错是中共的传统
n12179695,王友群：安徽大跃进饿死500万人之谜
n12191867,二大爷：美国共产党今昔
n12197974,曾铮：中美“文革”之九大对比
n12201122,王友群：林彪之女林豆豆被整得死去活来
n12201420,金岩：各国除垢史回顾
n12216273,王友群：刘少奇长子刘允斌文革中卧轨自杀
n12218068,芳子：北京城里细管胡同
n12231002,王友群：给刘少奇沉重打击的一张大字报
n12239161,武汉肺炎觅因：历史上的冤狱与天灾
n12240806,掸封尘：文革奇闻——红色劫匪举办战利品展览会
n12245403,古有赵高指鹿为马  今有中共指龙为鲸
n12251034,王友群：38次为毛泽东“做警卫”文革挨整8年多
n12264446,清奇：谁使花中仙子叶凋零
n12268703,王友群：紧跟毛泽东 砸烂公检法 刘传新最后自杀
n12272112,田园：中共对抗美国 华人何去何从？（上）
n12273037,田园：中共对抗美国 华人何去何从？（下）
n12284372,缘茽：鬼畏正神
n12285254,王友群：林伯渠第四任妻子朱明自杀之谜
n12290918,二大爷：大清挨揍，百姓都干嘛去了？
n12294248,清奇：不死的中国——一首军歌背后的血泪故事
n12296164,王友群：中共特务无孔不入 连蒋介石身边也有
n12300318,廖远：唐山大地震中的“青龙奇迹”
n12300771,【历史回眸】为中国献身的美国飞行员
n12313614,田园：经济内循环 开启中共国崩溃之门
n12316261,王友群：秦城监狱喊“打倒法西斯”的中共高官
n12332573,沈舟：太平洋海战系列 首战显空中优势
n12334243,王友群：北京市委第二书记刘仁被整死之谜
n12334577,史翔：胡适的千年一叹
n12335597,张林：1958年，7亿中国人斩尽杀绝20亿麻雀！
n12346464,为什么中共要将台湾视为自己的“核心利益”？
n12347836,慧眼识魔：历史的绝响引人深思
n12351777,沈舟：太平洋海战系列 爪哇海战役
n12352171,1949年后乐山大佛首次洗脚为何受关注
n12354397,王友群：北京大学副校长翦伯赞文革自杀之谜
n12362166,立言：卢作孚们的前世今生
n12365416,王友群：痛斥“毛泽东是大骗子”的大右派戴煌
n12368011,沈舟：太平洋海战系列 航母逞威印度洋
n12382837,袁斌：抗战胜利的中流砥柱是中共还是国民党？
n12383514,太平洋海战系列 史上首次航母对战（上）
n12384788,王友群：敢痛斥毛泽东的大作家聂绀弩
n12398861,观雨堂主：重温梁实秋之政治评论
n12400746,太平洋海战系列 史上首次航母对战（下）
n12401445,王友群：毛泽东翻脸 罗瑞卿被逼跳楼
n12409364,沈舟：航空母舰是如何诞生的
n12411588,刘超祺：九一八事变
n12414650,王友群：大银行家被中共“共产”成“穷光蛋”
n12415486,关乐：一二‧九
n12416281,二大爷：流落国三十年，美孤女悲喜交织的回家路
n12416495,沈舟：太平洋海战系列 航母决战中途岛
n12431207,王友群：中宣部长陆定一文革被关秦城监狱之谜
n12433518,理悟：摘桃——还原抗战真相
n12431501,太平洋海战系列 所罗门群岛航母苦战
n12444184,观雨堂主：徐志摩的警世箴言
n12449147,太平洋海战系列 所罗门群岛航母苦战（中）
n12452549,王友群：中共上将张爱萍文革中差点被“毒死”
n12465303,王友群：中共海军副司令陶勇“投井自杀”之谜
n12465988,太平洋海战系列 所罗门群岛航母苦战（下）
n12474860,朱瑞霞：于湾冤魂终古在，楚乡旧事扰人宁（ㄧ）
n12478902,美国中文教师：致中国人心灵的一封信
n12475358,朱瑞霞：于湾冤魂终古在，楚乡旧事扰人宁（二）
n12481413,王友群：先帮中共使劲整人后被整死的吴晗
n12475346,朱瑞霞：于湾冤魂终古在，楚乡旧事扰人宁（三）
n12482218,太平洋海战系列 史上最大规模航母对战
n12493405,王君：从朝鲜战争谁先开战看中共的谎言
n12495587,乾元：邪恶的中共到底从朝鲜战争得到了什么？
n12496822,王君：搞共产主义是中共出兵朝鲜的根本起因
n12497755,王赫：毛泽东为什么非要“抗美援朝”？
n12498930,陆言：一段被中共掩盖的卸磨杀驴的悲惨历史
n12498883,王友群：公安部副部长杨奇清被关秦城监狱之谜
n12498278,太平洋海战系列 史上最大规模海战
n12504522,袁斌：共产党倒台后的“公务员们”
n12504543,《纽约时报》如何掩盖乌克兰大饥荒
n12506994,袁斌：抗美援朝中共不但输了 而且输得很惨
n12508055,王君：二战后美军有侵略中国的战略吗？
n12509050,袁斌：子虚乌有的“黄继光堵枪眼”
n12516352,王君：韩战前后美国有侵犯中国的图谋吗？
n12516533,林辉： 唱打败美帝者移民美国 奇袭白虎团有真相
n12516699,袁斌：凭空编造的红军“飞夺泸定桥”
n12518019,王君：出兵朝鲜不是中国人民的意愿
n12516400,登陆作战有多难 美军夺取塞班岛的苦战
n12518228,王友群：毛泽东秘书李锐三次挨整的经历
n12520725,高寒：顺天意者昌 逆天意者亡
n12521064,袁斌：中共早期农民运动“好得很”？
n12521559,王君：和平谈判证明美国没有侵略中国的战略
n12522846,袁斌：周扒皮与《半夜鸡叫》
n12526384,王君：联合国大会认定中共介入朝鲜是侵略行为
n12526408,袁斌：黄霸天与《白毛女》
n12529816,王君：苏联“无偿”支援韩战武器是场共产主义恶梦
n12531043,王友群：与江青结怨的许建国最后气绝身亡
n12531179,袁斌：“水稻亩产130,434.14斤”的惊天谎言
n12533175,王君：热血轻洒亡命他乡究竟为了什么？
n12531356,登陆作战有多难 夺取关岛和天宁岛之战
n12543233,袁斌：“神奇的地雷战”？ 压根就没那回事！
n12549716,王友群：北京副市长崔月犂文革入狱曾被关疯了
n12548429,登陆作战有多难 血战贝里琉岛
n12560012,袁斌：“蒋介石背叛革命”纯属弥天大谎
n12560442,二大爷：中国人的生与死
n12560920,邢天行：宋庆龄致命中国的几件事
n12566737,王友群：中共上将赵尔陆文革“猝死”之谜
n12565118,登陆作战有多难 残酷的硫磺岛战役
n12578065,邢天行：从川普的遭遇感怀蒋介石
n12582248,王友群：中共高级特工王超北被中共关押17年
n12583649,林辉：中共首任国安部长凌云的歧途
n12580656,登陆作战有多难 太平洋最大的冲绳岛登陆
n12596704,王友群：中监委高官王世英被迫害致死之谜
n12597490,【微历史】恩格斯百年阴谋 结出2020美大选恶果
n12597411,沈舟：世界上的首次航母空袭
n12600801,警世钟：明朝“靖难之役”与美国“正邪之战”
n12601721,沈舟：1941年珍珠港空袭对今天的启示
n12605351,袁斌：中共诱骗民众常用的两大招数
n12614357,王友群：毛泽东夸奖的“大作家”被关秦城监狱7年
n12619305,唐伟：勿忘历史教训 勿成中共的“空降兵”
n12619377,史鉴：法官、检察官、政要失职将带来灾难
n12618414,邢天行：血战长津湖 被中共掩盖的骇人真相（1）
n12627353,邢天行：血战长津湖 中共隐瞒的骇人真相（二）
n12632422,林辉：文革由毛像引发的荒诞事
n12632697,王友群：北京大学文革中第一个自杀的教授
n12635503,张菁：文革中演样板戏《红灯记》招致的厄运
n12646319,吴侃：从中华民国败走看今天的美国
n12646958,邢天行：长津湖“全歼北极熊团”的谎言
n12647789,王友群：我的老领导刘丽英一家文革蒙难记
n12652423,拨云：美国三次误判中共的历史教训（一）
n12651974,张菁：因相信党妈 儿子被亲妈送上黄泉路
n12655409,拨云：美国三次误判中共的历史教训（二）
n12657865,拨云：美国三次误判中共的历史教训（三）
n12658168,中共“救命恩人” 著名法学家被整家破人亡
n12668082,王君：联合国大会认定中共介入朝鲜是侵略行为
n12676333,曾为中共收集战略情报 阎宝航被中共折磨致死
n12678112,回忆录：右派家属母子的百年血泪（1）
n12679159,张菁：他死后，手指被削下来泡在福尔马林中
n12679738,回忆录：右派家属母子的百年血泪（2）
n12683820,回忆录：右派家属母子的百年血泪（3）
n12685099,观雨堂主：吴晗的双重人格
n12686410,回忆录：右派家属母子的百年血泪（4）
n12690994,王友群：文革中石破天惊的“万言书”
n12692515,回忆录：右派家属母子的百年血泪（5）
n12693887,张菁：太残酷 哺乳期的她乳头被烧焦
n12698863,回忆录：右派家属母子的百年血泪（6）
n12702665,郭军：“黑五类”子女解析“黑五类”
n12706141,王友群：被中共判刑十年的杰出法学家盛振为
n12706191,回忆录：右派家属母子的百年血泪（7）
n12709128,张菁：文革时 形形色色五花八门的吊刑
n12706196,回忆录：右派家属母子的百年血泪（8）
n12717578,邢天行：麦克阿瑟将军的朝鲜好牌被谁打坏了
n12720302,袁斌：中共关于国军不抗日的谎言
n12721487,王友群：毛泽东翻脸不认人 中监委高官被整死
n12722926,张菁：文革时 那口没人敢用的棺材
n12723511,袁斌：一个全家被共产党杀光的故事
n12724108,杨宁：嫉妒小人江泽民 炮制世纪伪案
n12727790,颜智华：百年来共产党要了多少人的身家性命？
n12727840,袁斌：中共是“抗日战争的中流砥柱”？
n12729946,王赫：对中共早期在美渗透行动之反思
n12736110,王友群：做好事成罪状 首任中共监察部长被整死
n12737290,李正宽：大疫汹汹 人类会不会重蹈覆辙？
n12738476,阿伦：知道你的手机怎么监听你的么(上)？
n12740955,【微历史】共产党利用民主在三国夺权：中国篇
n12751238,王友群：中共美女间谍陈修良被中共整肃22年
n12758981,邢天行：麦克阿瑟的链锁赤龙与“不沉航母”（上）
n12761975,邢天行：麦克阿瑟的链锁赤龙与“不沉航母”（下）
n12763411,王友群：黄克诚庐山讲真话 被整得死去活来
n12765924,张菁：文革期间惨烈的批斗会
n12772931,张菁：文革中改名换姓的笑话
n12777952,毛泽东的大笔杆子姚文元被关秦城监狱20年
n12783005,张菁：上山下乡运动——轰出城市
n12792913,王友群：天才物理学家束星北晚年拒绝加入中共
n12796743,袁斌：“秋收起义”的真相
n12809869,王友群：第一任中共党魁陈独秀的最后结局
n12810247,袁斌：“红军飞夺泸定桥”不过是个荒唐的骗局
n12811020,张菁：上山下乡欢迎会上的忆苦饭和教育课
n12816694,袁斌：红军长征根本就不是为了北上抗日
n12818006,张菁：从文革小笑话看中国人的善如何被毁掉
n12824710,王友群：第二任中共党魁瞿秋白的最后结局
n12825833,张菁：上山下乡运动中那些逝去的生命
n12829845,袁斌：真实的地雷战根本不是中共吹嘘的那样
n12834884,时欣：为什么远离苏联的国家都好了？
n12836541,百年沉思：她们鲜为人知的命运诉说了什么？
n12839888,张菁：文革笑话——认认真真走过场
n12840390,王友群：中共第三任党魁向忠发的最后结局
n12844679,蔡慎坤：历史的吊诡之处
n12850959,袁斌：所谓“平型关大捷”的真相
n12855290,王友群：第四任中共党魁秦邦宪的最后结局
n12857212,中共罪行录之一：抗日英雄胡树基之死
n12857793,张菁：画家被自己的老婆送入鬼门关
n12861087,袁斌：遵义会议确立了毛泽东在中共的领导地位？
n12863644,中共罪行录之二：消灭AB团和富田事变
n12865420,王友群：第五任中共党魁张闻天的最后结局
n12865576,袁斌：“新三民主义”完全是中共的捏造
n12868914,中共罪行录之三：“西路军”的覆灭
n12871492,袁斌：中共是马列与工人运动相结合的产物？
n12872817,张菁： 牛棚里剃“阴阳头”的“牛鬼蛇神”
n12872820,【史鉴】82岁前中共县长的灭顶之灾
n12872832,王友群：习近平的父亲留下的四大遗产
n12881305,中共罪行录之四：陕甘宁边区的鸦片贸易
n12883993,中共罪行录之五：一字之差成了反革命
n12882305,周晓辉：“三大纪律”下的绑票与中共建国中国
n12886353,中共罪行录之六：毛时代的腐败
n12887429,中共罪行录之七：百岁老人笔下的中共黑幕
n12888201,王友群：第九任中共党魁赵紫阳的最后结局
n12888565,张菁：文革中践踏人尊严的学习班
n12887922,李勇：中共早年在香港纽约制造暴力恐怖纪实
n12892171,袁斌：“皖南事变”是“千古奇冤”？
n12892901,法国思想家托克维尔诠释堕入暴政的过程
n12897365,中共罪行录之八：装甲兵司令员被活活整死
n12902918,王友群：第八任中共党魁胡耀邦的最后结局
n12904529,张菁：文化大革命九十号及精神变物质
n12905134,一部反人类犯罪的历史——中共百年历史谈
n12905872,中共罪行之十：所谓“六四反革命暴乱”
n12908179,中共罪行录之十一：延安整风
n12910568,袁斌：抗战胜利后谁挑起了内战？
n12914429,周晓辉：东方红曲调来自情歌 延安进行文革预演
n12917801,袁斌：还原“恶霸地主刘文彩”的真相
n12918879,袁斌：还原“恶霸地主黄世仁”的真相
n12919443,亦然：改了又改的党史和无法改变的事实
n12920034,叶书：165名中共空军 “反革命”累计改造逾3600年
n12921133,袁斌：编造出来的“南霸天”
n12921925,张菁： 反右中一根绳子吊死一对夫妻
n12921960,周晓辉：中共开七大时暗中勾结日军 后感谢侵华
n12918457,王友群：第七任中共党魁华国锋的最后结局
n10757327,共产暴政录：长春围城饿毙几十万人真相
n12923274,袁斌：“周扒皮”的故事纯属虚构
n12925599,袁斌：子虚乌有的“资产阶级右派的猖狂进攻”
n12928000,中共罪行录之十二：“无产阶级文化大革命”
n12933748,王友群：第十任中共党魁江泽民面临的最后结局
n12938801,袁斌：毛的帝王般生活 却宣传成“与人民同甘共苦”
n12952850,花丛中的骑士：骑士精神简史
n12954229,王友群：批“党天下”的大右派储安平失踪之谜
n12957562,袁斌：“延安整风”中毛泽东是怎样伪造中共历史的
n12959911,中共罪行录之十三：在河北安国县的勒索和欺诈
n12962619,中共罪行录之十四：在太行山区摧毁传统文化
n12965097,中共罪行录之十五：吕正操所部残杀异己
n12967431,中共罪行录之十六：强迫孩子现场看杀人
n12970477,张菁：文革中各种残酷的“站刑”和“坐刑”
n12971424,中共罪行录之十七：大饥荒中的“荥经惨案”
n12974074,中共罪行录之十八：“文革”新贵们的贪腐（上）
n12974507,传奇企业家：失败不可怕 吸取教训勇于尝试
n12976431,中共罪行录之十九：“文革”新贵们的贪腐（下）
n12978961,中共罪行录之二十：“打土豪”
n12984234,袁斌：“六十一个阶级兄弟”中毒事件真相
n12986487,张菁：她被逼每日吃一顿抹着秽物的窝头
n12987500,中共罪行录之二十一：所谓的“清除精神污染”
n12986411,被遗忘的百年历史（I）1920至1950
n12989161,被遗忘的百年历史（II）1950 至1976
n12991962,被遗忘的百年历史（III）1976至1989
