n11768216,廖祖笙：2020年或为暴政收官年
n12567033,戴东尼：正邪大战
n12567147,金浴凤：美选探幽
n12567162,袁斌：网友热议中共为什么要如此反美
n12567247,【网海拾贝】美国南北战争以来最重大的战役
n12567294,云鹤天：拜登经历
n12568439,【网海拾贝】正邪决战，没有中间地带可站
n12568462,吐为快：快离开共匪的贼船
n12568105,大纪元文章发表后 宾州选票数据库遭篡改
n12568541,陈达：黄洁夫自供中共“活摘”是“发展需要”
n12569055,颜纯钩：独裁者越疯狂，离死期越近
n12570487,海网：您读懂了中共没有？
n12570808,千百度：将健康码推广到国外？习近平遭网友呛声
n12571487,颜纯钩：风萧易水，为黄之锋们壮行色
n12571204,【网海拾贝】中共才是危及全球的病毒
n12573396,【网海拾贝】绝不允许美国被共产主义者偷窃
n12574299,颜智华：美国社会存在一个天使和一个魔鬼
n12576358,伍新：习近平祝贺拜登 “窃选合作”被聚焦
n12576386,金浴凤：论脱贫
n12577432,谢田：美国大选僵局持续 神仍在考验我们
n12578511,袁斌：中共推出“网络良民证”遭网友抨击
n12578552,【网海拾贝】颤抖吧，沼泽地的妖魔鬼怪们！
n12578638,黄翔：另类时空的精神净土
n12580252,感恩节吃火鸡  但请不要叫它“火鸡节”
n12580245,迟到的怀念——纪念法轮功学员石龙
n12580795,郑纯清：柳暗花明在即——揭露窃选听证会观感
n12580805,颜纯钩：林郑施政 一心一意把香港“送中”
n12580839,吴新：脱贫谣
n12582845,陈思敏：中国网民互联网上热议美国大选舞弊
n12583119,祝君安：阮郎归‧颂脱贫
n12583146,关乐：炒作“没有证据”本身就是证据
n12584946,海网：基辛格被开激心歌
n12584981,唐小风：官员自嘲 王某得了一场大病，我就叫他脱贫了
n12585002,千瑞：唱响正义之歌 铲除红魔之害
n12585026,李春草：命运共同体之魔影
n12585390,纪念长春工程学院老师邹向阳博士
n12589424,邢天行：历史上一夜“换头”的神奇男与那个时代
n12589725,【网海拾贝】拜登集团上台，就是美国的终结
n12590619,罗博特：窃选
n12590865,陈达：“命运共同体”实为“‘共’统命运体”
n12593086,伍新： 中共备战号坟边哀声嚎
n12594540,王涵：中国民主党党员温起锋遣返中国后被捕
n12594690,袁斌：大陆学者谈全球化历史进程与川普连任
n12594930,【网海拾贝】川普：我们会让我们的选举再次公正！
n12595868,求真者：与社会公义背道而驰的审判
n12595891,海网：当神圣号角吹响的时候
n12597901,【网海拾贝】信神要坚如磐石，不动如山
n12597929,振玉：天仙子‧赞林伍德大律师
n12597943,金浴凤：读懂中共（外二篇）
n12598436,王维洛：对三峡工程的再审计
n12598955,【网海拾贝】中共搞不定拒绝收买的川普
n12599494,振玉：鹧鸪天‧颠覆
n12599502,吴新：中共对川普“搞不定”因根本“读不懂”
n12599723,王赫：川普的双重身份及其可能选择
n12599751,李明：神选川普平乱
n12600332,袁斌：值得反川人士深思的十个问题
n12600435,【网海拾贝】从没有在任总统增选票而败选的
n12600908,吐为快：中美关系二篇
n12600926,潭星：为正义而战
n12602199,祝君安：为川普讨拜登檄
n12602226,郑纯清：左媒防火墙筑自绝墙
n12603475,大陆学者：厘清真相，还大选双方以公道
n12603546,【网海拾贝】作弊的人怎能进白宫？
n12605370,千百度：网友怒怼央视主播评安徽女孩溺亡事件
n12606091,甄莳：“万四如意”或“万四小心”？
n12606442,关乐：美国制裁中共人大所有副委员长感言
n12606454,理悟：沼泽鱼鳖不自量
n12606473,颜纯钩：中共加速走上自毁之路
n12607054,吴侃：美国大选中的左与右
n12607083,李春草：念奴娇
n12607532,李国涛：迷惘与清醒
n12609586,大陆学者：评论美国大选的9个错误姿势
n12610905,谢田：川普总统，该出手时就出手
n12611461,吐为快：末日中共（两首）
n12611463,伍新：“美国疫情”与“中国（共）特色”
n12611965,袁宇峰：国际人权日70周年 痛斥中共暴政罪行
n12614456,千百度：大陆专家建议放开三胎，遭网友打脸
n12615263,袁斌：美籍华裔女作家谈神会不会放弃美国
n12615975,祝君安：烛影摇红（外一篇）
n12615994,云鹤天：美国大选
n12615838,百家姓：美国的命运代表着人类的命运
n12617255,【网海拾贝】美国最终由美国人民说了算
n12618584,李铭：神会带领美国 走向光明之路
n12619122,李春草：梦断红楼（外一篇）
n12620870,陈达：中共近二百万渗透党员名单公布正逢其时
n12621749,袁斌：川普真的是“神选之子”吗？
n12621885,【网海拾贝】没有真相与正义就没有美国
n12624000,【网海拾贝】主流媒体又掀一波拜登登基泡沫
n12624340,李琳：科学识别定位大选系统欺诈的宏观理由
n12624470,吐为快：咏人大橡皮图章
n12626198,袁斌：有关白马黑驴和三只小猪的寓言
n12626569,【网海拾贝】拜登的85,000,000选票纯属笑话
n12627318,金浴凤：全球选边站之至贵时刻
n12628768,伍新：美国大选告诉世界
n12628793,祝君安：菩萨蛮·老天是在选善民（外一篇）
n12628812,李偲嫣猝死于中共病毒是著名“蓝丝”的最终样板意义
n12629961,【网海拾贝】大纪元等独立媒体的勇气来自哪里
n12631823,云鹤天：赠川普
n12631922,万古缘：笔扫乾坤——赞大纪元文章
n12631927,吐为快：天仙子‧生死存亡之际（外一篇）
n12631946,新州：平叛灭乱  须当机立断
n12631962,洪达：神藉大选舞弊考验人心
n12632710,向真：信神或反神 决定瘟疫与大选
n12633316,袁斌：赵丹演的最精彩的戏是什么？
n12634425,【网海拾贝】现代文明的邪恶之源
n12635315,关乐：红朝末了无完卵
n12635324,祝君安：末日三弄
n12635351,李琳：致美国军人“我的选票哪去了”
n12637042,戈壁东：至暗时刻，媒体的良知是最亮的火炬！
n12637090,乾元：谁是川普的真正对手
n12637541,黄翔： “大道至简”的化境之庄
n12639029,一位武汉疫情亲历者的经历和忠告
n12639306,千百度：大陆留学生为什么那么多小粉红？
n12640944,郑存柱：从丁建强病逝看国内的“舆论”导向
n12642071,袁斌：官媒为“上山下乡”翻案遭网友痛斥
n12642290,【网海拾贝】中共对美国进行政治“斩首”
n12643727,黄翔：共产中国的蚕食与美国的裂变
n12643919,吴新：没辙找辙唯剩死辙
n12645941,【网海拾贝】向共产主义说不，拒绝中共
n12646302,李春草：阮郎归‧垄断（两首）
n12646262,李正宽：天象示警 危难关头避疫良方有启示
n12647003,袁斌：网友评共产党为什么害怕宗教
n12647164,【网海拾贝】有史以来最不平安的平安夜
n12648233,陆客：末世民风（八）
n12651269,千百度：大陆学者谈美国主流媒体不可信
n12653341,隋志：两层筛子 拣选人心
n12653369,金浴凤：辞共迎新赋
n12655588,千百度：环卫工冻死，现实版的“朱门酒肉臭”
n12656861,伍新：但愿张母泪 凝为众明鉴
n12658128,杨茂森：2021新年寄语
n12658061,梁园：幸福的秘诀
n12658408,《全球退党服务中心》新年寄语：迎新元
n12658664,吴新: 二零二一年展望
n12658729,郑纯清：扶贫脱贫谣
n12661335,刘佳鑫：解体中共，势在必行
n12661371,颜纯钩：黎智英还押，香港法治悬于一线
n12661792,中国人权律师团律师2021年新年献辞
n12663305,陈达: 青关会葬歌
n12663334,理悟：诗三首
n12663345,祝君安：水调歌头·嫦娥吟（外一首）
n12663515,【网海拾贝】彭佩奥发了两张喻意深远的图片
n12664766,吴新：醉花阴•共军配备自毁装置
n12664831,安琪：1月6日华盛顿见 竟引来极左派恐吓信
n12664882,袁斌：官方严冬封村民火炕 网友痛斥其没人性
n12664957,【网海拾贝】2021年1月6号DC见！
n12668000,俞元：川普的真正靠山
n12668023,袁斌：大陆学者谈美国大选需要澄清的九大问题
n12668081,千百度：拼多多员工猝死 网友斥劳动法是摆设
n12669593,王赫：两位法国汉学家对中共的十个观点
n12670190,投书：中共对翻墙网民痛下杀手 最重被判十四年
n12670253,李春草：踏莎行 · 末日的世界（两首）
n12670273,澳大利亚齐氏文化基金会2020年第13届公告
n12670442,千百度：网友热议共产党什么时候下台
n12671449,郑存柱：一个并不高明的骗局为何能使墙内亿万人上当
n12672787,袁斌：不管大选结果如何 民众的义举将载入史册
n12673190,谢田：美国首都华盛顿1月6日纪实——国运逆转
n12674639,戈壁东：1月6日国会暴力事件是一个阴谋
n12677172,罗博特：问CNN
n12677515,华玉：谁是戈培尔？
n12678324,【网海拾贝】中美建交42年 美国在变成中国
n12678359,Renhao：纪念Ashli Babbitt女士
n12678388,苦胆：“川”流不息
n12679850,浩然：谁掀了美国宪政民主的桌子？
n12679877,民主又不能当饭吃 ——五毛言论反驳系列之一
n12679904,大陆时评家：川普是重大历史命题的提出者
n12680501,李旭彤：社会精英的社会责任（上）
n12681232,【网海拾贝】如果推特禁川普的言是合理的
n12681226,华玉：左派阶级斗争撕裂美国社会
n12682700,袁斌：一个川普反对者转变为支持者的心路
n12682780,凌稣：1月6日美国国会时间真相一窥
n12680604,李旭彤：社会精英的社会责任（下）
n12683000,【网海拾贝】如果人性变坏 什么好制度都没用
n12684994,袁斌：网友精彩回应小粉红中共二战角色说法
n12685142,颜纯钩：香港人是禀赋异常的中国人
n12687482,网友斥社交媒体封禁川普是践踏言论自由
n12689948,华玉：不要对冲击国会上纲上线
n12692068,高达宏：中共不懂“简写字”和“简体字”的不同
n12692080,颜纯钩：来日大难，千万不要低估中共的邪恶
n12692678,颜纯钩：没有特朗普，台港就不是今日模样
n12692771,【网海拾贝】千万不要低估中共的邪恶
n12694589,【网海拾贝】如果说武汉是悲城 石家庄就是死城
n12695411,陈满华：好友玉圣教授的别墅就要被消失
n12696215,戈壁东：与赵紫阳二子见面后 我被列入黑名单十年
n12696993,【网海拾贝】十年前与今天的美国国会
n12699998,【网海拾贝】屏蔽总统信息不符合新闻规则
n12702430,孙国祥：孔子学院退场后  Taiwan Can HELP
n12703045,【网海拾贝】川普将会对美国产生深远的影响
n12704944,何良懋：病毒来源再被聚焦
n12704982,袁斌：“返乡核酸证明”不清不楚 网民提81问
n12705115,【网海拾贝】中共制裁美官员，十足街痞做派
n12707408,云鹤天：卜算子‧中共病毒又重来
n12707536,颜纯钩：看人要看主流，看整体，看大节
n12707621,【网海拾贝】中共亡美之心不死
n12707407,闻欣：钱学森为何拒绝反对法轮功？
n12707981,李辰：伪火与瘟疫
n12708361,【网海拾贝】释放善意，换不来共产党的善意
n12709244,陈达：更漏子·免疫急救方
n12709262,郑纯清：墨茶穷死被搽墨的警示
n12709686,袁斌：B站最惨UP主 现实版《悲惨世界》
n12709760,千百度：电视人揭央视“自焚案”报导源自政法委
n12712816,【网海拾贝】国会弹劾离任总统川普说明什么
n12713245,颜纯钩：拜登时代——温吞水的对华政策
n12714920,白丁：拜登时代——2020年美国总统大选启示录
n12714950,袁斌：党媒四问通化物资配送 评论区大翻车
n12715009,【网海拾贝】左派哪里掌权，哪里就遭殃
n12717343,袁斌：信访局长狂言“老弱病残孕要往死里打”
n12717392,【网海拾贝】妥协，只会让中共越来越嚣张
n12718943,拜登上台 何良懋：加拿大经济雪上加霜
n12719070,华玉：举报闯入国会的父母 再现文革惨剧
n12720203,中国人权律师团律师关于郭飞雄先生被阻止出境的声明
n12720325,谢卫国：写给我无法尽孝的父亲
n12722393,袁斌：都发钱等于都没发？胡锡进谬论引众怒
n12722448,洪达：九字真言抗瘟疫 不同族裔受益
n12722456,王丹：北京继续挑衅美国新政府
n12724879,【网海拾贝】中共一刀切的防疫措施非常不人道
n12727884,【网海拾贝】侮辱全世界人民的世卫“调查”
n12730028,高婧婧：从拜登政府世俗化倾向看其对中共政策
n12732165,吐为快：天仙子·中共的福与祸
n12732470,魏京生：缅甸军事政变的教训
n12734323,遭中共报复 何良懋：加政府政治智慧不足
n12735197,【网海拾贝】中共对美国有三求
n12735229,【网海拾贝】不要落入与中共谈判的陷阱
n12737248,金浴凤：扬州慢‧武汉疫影
n12737833,袁斌：这不准写 那不准评 自媒体还能写什么？
n12738362,千百度：困难户竟有茅台酒，慰问秀又演砸了
n12738507,历史与现实：突然到来的瘟疫
n12740396,袁斌：一位首批中国留苏生的觉醒心路
n12740430,【网海拾贝】应将中共定性为“跨国犯罪集团”
n12742407,袁斌：Clubhouse爆红，新疆人亲述被迫害惨状
n12742476,【网海拾贝】支持社会主义的美国人骤减
n12744813,释先生：2021大陆国运
n12744865,【网海拾贝】世卫专家看的都是中共想让他们看的
n12746719,何良懋：加拿大汇入全球救助香港人行动
n12746828,晓风：神、马教和白左
n12746838,【网海拾贝】世卫帮中共洗脱疫情起源之责
n12747478,何良懋：封闭措施带来的网课后遗症渐现
n12747581,中国民主党致全体中共党员的新年公开信
n12748910,【网海拾贝】审庭向中共低头 香港法治已死
n12750636,【网海拾贝】中共把谭德塞们的良心给吞了
n12751938,袁斌：武汉新年花市火爆 党媒谎称“报复性消费”
n12752016,晓风：白左与保守主义
n12752025,【网海拾贝】春晚歌舞升平掩不住中共的罪恶
n12753738,【网海拾贝】为何非要把吊唁说成报复性消费？！
n12756200,《转法轮》中提及史前文明案例：三叶虫
n12757585,【网海拾贝】让中共参与全球化会是什么结果？
n12757686,李春草：水仙子‧中国梦
n12758577,《转法轮》中提及的史前文明案例：刻石
n12759741,【网海拾贝】如果21世纪真成了中共国的天下
n12760734,港共修例收窄自由空间 何良懋：港人用脚投票
n12762059,袁斌：为14头牛杀7人 网友叹“这世道”
n12762110,【网海拾贝】只有共产党灭亡，我们才会安全
n12764177,【网海拾贝】独裁国家崛起是人类的灾难
n12764204,祝君安：丑奴儿‧国情论（外一篇）
n12764299,颜纯钩：你要和一个邪恶政权争夺自己的孩子
n12765124,张智斌：中国官媒报导状况频出——意外还是恶搞？
n12765142,苦胆：无法无天，实乃无天则无法
n12765175,【网海拾贝】以民主之力破民主之功
n12765193,刘超祺：香港在疫症下淡静的2021黄历新年
n12765244,晓风：自由与民主
n12766004,观雨堂主：谁能逃离“囚徒困境”
n12766044,金浴凤：浪淘沙
n12767271,理悟：跳车
n12767295,【网海拾贝】中共是好莱坞恐怖电影里的杀人狂
n12768381,吐为快：浣溪沙（外一篇）
n12769325,【网海拾贝】中共对每例新冠死亡都负有责任
n12771710,袁斌：一位哈萨克教师在“再教育营”的恐怖经历
n12771766,【网海拾贝】中共没提供足够的疫情原始数据
n12773278,伊利夏提：自由世界的难题——种族灭绝定性后的责任
n12774001,袁斌：“玛丽莲梦六”因言获罪 网民抨击当局
n12774114,【网海拾贝】中共从来不尊重人的生命
n12777592,加拿大卑诗省审查培训中共警察项目
n12778871,【网海拾贝】共产党是恐怖组织
n12779826,袁斌：中共突禁台湾凤梨 网友批“阳谋”
n12779879,【网海拾贝】靠“庄严宣告”“成功”的中共扶贫
n12780738,从中国大陆传出的七首狱中诗
n12780659,《转法轮》提及的史前文明案例：远古壁画
n12781374,共朝黔首：钟南山在疫情期间最大的贡献——粉饰
n12781393,吐为快：浣溪沙·全国人民热爱刃总
n12781432,袁斌：“玛丽莲梦六”入狱 网友纷纷表达祝福
n12781638,【网海拾贝】“海外追逃”，中共导演的闹剧
n12783868,袁斌：教师拜金言论折射大陆教育现状
n12784266,【网海拾贝】绝不能信任中共及与之谈判
n12786666,【网海拾贝】美国第一符合全球利益
n12786775,颜纯钩：岑子杰的道歉与周庭的眼泪
n12786801,祝君安：菩萨蛮·题两会（外一篇）
n12791212,谢田：中共不是国际体制的竞争者和挑战者
n12791335,袁斌：中共禁台湾凤梨沦为笑料 遭网友打脸
n12791400,【网海拾贝】中共是这个星球上最危险的东西
n12793572,【网海拾贝】远离中共，一切才会更好
n12794675,【网海拾贝】中美应竞争、合作还是对抗？
n12796905,【网海拾贝】中共拿网上追逃恐吓中国民众
n12799306,袁斌：中国人民何时才能平视共产党？
n12799347,【网海拾贝】让人民感到恐惧的人才是恐怖分子
n12801601,金浴凤：宴清都‧哭春
n12803930,【网海拾贝】打败中共病毒首先需打败中共
n12805365,李春草：永遇乐 · 红朝空壳
n12806870,【网海拾贝】美国应将中共定性为敌手进行打击
n12808994,袁斌：中共称“完善香港选举制度”网友嘲讽
n12809100,【网海拾贝】香港唤醒了全世界
n12810258,【网海拾贝】中共全球作孽遭天谴！
n12811075,【网海拾贝】中共大数据下的露天监狱
n12815700,金言：“京黄失色” 段子手眼中的沙尘暴
n12816738,【网海拾贝】中共统治史就是部反人类罪史
n12819191,【网海拾贝】中共是吸13亿百姓血的寄生虫
n12821635,文博：谁制造了对华人的歧视，如若有之？
n12822004,袁斌：女辅警家人委托律师被拒 网民斥世道太黑
n12822105,【网海拾贝】美中战略竞争没有双赢
n12822136,千百度：还有多少没被曝光的“女辅警陪睡案”？
n12823984,李退之：九官员状告女辅警“敲诈”案观感
n12826010,蔡慎坤：中国人究竟吃哪一套
n12826459,【网海拾贝】中共撕下“韬光养晦”的面具
n12826609,陈康：杨洁篪主任  我想对您说
n12826698,关乐：中美会谈闹剧的“实效”
n12829887,【网海拾贝】中共主动迈向朝鲜化的一大步
n12832380,千百度：广州一村民炸村官 网民称“杨佳再世”
n12832411,【网海拾贝】中共已嗅到美国的软弱
n12835122,【网海拾贝】欧中投资协定很可能要泡汤
n12839512,苦胆：这铁锹不是用来活埋自己的
n12840590,乾坤子：从美中风云看人类未来之梦
n12840909,【网海拾贝】英国制裁谁？中共又制裁谁？
n12842496,陈大民：中国人不吃马列主义文化这一套
n12845607,【网海拾贝】中共外交全面“战狼化”
n12845659,千百度：“天灭中共千真万确！”
n12848436,【网海拾贝】如果中共当家长，世界会怎样？
n12849289,从康生欲培养特异功能女孩做特工说起
n12850902,【网海拾贝】世卫和中共国的报告信不得
n12853497,千百度：短暂来沪停留人员需登记？网友热议嘲讽
n12849420,河北一党委副书记刘君临终前的忏悔
n12853615,【网海拾贝】拜登政府将鼓励外交官会晤台官员
n12855864,【网海拾贝】下一个新疆人将会是你们
n12855985,乾元：闫丽梦第三份报告提及的科学界“鳄鱼”
n12856929,对中共在香港落实“党的全面领导”与“全面管治权”的法理批判
n12856952,清竹：是执法 还是赤匪在抢劫？
n12856996,曾慧燕：司马璐走入历史 功载千秋
n12857866,【网海拾贝】打了中共国疫苗之后如何？
n12858385,千百度：网友揭中共治下的新疆“毫无人权”
n12859932,读者投书：中国的新冠疫苗接种就是强制性的
n12638564,羟氯喹（HCQ）是继青霉素之后的第二次医学科学大革命吗？
n12863707,【网海拾贝】武汉到底死了多少人？
n12865651,伍新：贺台湾访客增多和美德州疫情骤降
n12869726,投书：山东村民举报村官涉黑涉恶 投诉无门
n12868962,【网海拾贝】要求抵制北京冬奥会的呼声越来越高
n12872224,【网海拾贝】亲共有风险，疫苗不可靠
n12874006,【网海拾贝】中共是最大的垄断，该罚多少？
n12875589,郑纯清：“黑名贵黄命贵”的来龙去脉
n12876530,袁斌：中共推举报“历史虚无主义”专区意欲何为？
n12876631,【网海拾贝】中共疫苗更像播毒
n12879124,【网海拾贝】中国疫苗出了什么事?
n12880392,戈壁东：中共战狼外交其实是恼羞成怒
n12881460,【网海拾贝】不应对中共存任何幻想
n12884062,【网海拾贝】世界级恶魔：希特勒与马克思
n12885648,谢燕益：郭洪伟监狱死亡案件真相调查简述（一）
n12887580,【网海拾贝】中共再被定为美国的第一威胁
n12887931,曾慧燕：乱世中国儿女情
n12889176,【网海拾贝】美国应采取对等原则应对中共
n12890469,郑黎明：从《红舞鞋》原型到“新冠”后遗症
n12892231,【网海拾贝】中共没有资格写中共党史
n12894705,【网海拾贝】中共最怕的就是中国人民
n12897270,关乐：中共党史绝笔谣
n12893881,吴文渊：激进派用种族审视社会问题 加剧分裂
n12897500,【网海拾贝】中共什么都干得出来
n12902280,吐为快：贺骄郎‧赵家战狼与狗儿
n12902297,戈壁东：中共超限战攻城略地 美国全面应战还来得及吗？
n12902192,谢卫国：忆四‧二五中南海和平上访
n12903482,【网海拾贝】中共和西方，谁末日来临？
n12903785,郑纯清：中共毁灭全人类的活铁证
n12903873,【网海拾贝】与中共合作？西方不被玩死才怪
n12904705,佚名：习近平家族信息泄漏案的荒唐
n12905562,灵根自植‧坦荡荡
n12905934,千百度：网友吐槽五一调休“折腾劳动者”
n12905585,灵根自植‧长戚戚
n12906878,【网海拾贝】全方位抗共已成美国长远国策
n12908274,【网海拾贝】外商进中国相当于羊入狼口
n12910485,慧真：勿被红歌迷 觉醒弃赤魔
n12910493,伊利夏提：在自责与内疚中的挣扎
n12910697,【网海拾贝】极权是人类的恶魔灾星
n12913365,袁斌：出生率降低大陆网民喊爽折射了什么？
n12913466,【网海拾贝】西方联合军演震慑中共
n12915748,袁斌：人口普查数据延迟公布 网友：官方“正在编”
n12915845,【网海拾贝】中国才是真正的“无依之地”
n12917822,【网海拾贝】中国人口普查数据有多难看？
n12918941,吐为快：谁不晓妖共这一套
n12918946,千百度：大陆人口“继续保持增长”，你信吗？
n12920143,【网海拾贝】中国大陆不是市场是陷阱
n12920173,梳理三峡争议（2）——三峡大坝防洪能力几何
n12920911,金浴凤：风流子‧我曾经也想姓赵
n12923326,【网海拾贝】与中共和平竞争注定要失败
n12352634,【网海拾贝】退出中共，才能回到人民的怀抱
n12750619,袁斌：网友吐槽春晚越来越难看
n12925626,【网海拾贝】特斯拉的模本效应太震撼
n12932844,【网海拾贝】中共党史就是部不断树敌史
n12934176,【网海拾贝】经济脱钩是联手抗共成功的关键
n12934233,曾慧燕：32年前那个纪念会 改变多少人命运
n12935589,源清晨：中共人
n12935995,李春草：木兰花·战狼与美谍
n12936547,袁斌：一个大陆女孩被强奸后报警的屈辱经历
n12936626,【网海拾贝】俄国恃强凌弱，中共恶贯满盈
n12938952,网友：中共捞够钱了，为何还不开放党禁？
n12938999,【网海拾贝】巴西总统暗指疫情是中共生化战
n12942029,袁斌：官方掩盖中学生坠亡真相 网友斥“糊弄谁”
n12942090,【网海拾贝】共产党没底线，什么坏事都可能干
n12945717,【网海拾贝】比战狼更凶残的戳瞎外交
n12947098,陈达：人无避雷针
n12945811,慧真：大陆实况奇闻录（一）
n12947233,付宁：基督徒为什么应该声援法轮功？
n12947626,颜纯钩：没有公义的社会有多可怕？
n12948793,【网海拾贝】中国生育率可能降至全球最低
n12952161,【网海拾贝】中共怎会容中国人讨要真相
n12953050,【投书】大陆中共病毒真实死亡人数被中共自己揭露
n12953115,理悟：高智晟，你在哪里
n12954345,【网海拾贝】中共打江山原来就是打人民
n12957502,李国涛：中共‧江山‧人民
n12957622,【网海拾贝】中共统治模式威胁世界
n12959984,【网海拾贝】CCTV的宣传好恐怖！
n12962705,千百度：“小镇做题家”吐槽教育资源不公平
n12962747,吐为快：党、人民及走狗
n12962781,【网海拾贝】什么是共产党？
n12965222,【网海拾贝】不要对中共抱任何幻想
n12967393,北隐：深圳赛格大厦晃动之我见
n12967526,【网海拾贝】新版中共党史为文革翻案
n12966528,杨晖：文化局来查了之二：听证
n12968779,【网海拾贝】《毛泽东选集》真受大学生追捧？
n12970213,宋征时：我找到的六四军人
n12970286,魏京生：中共企图在巴以冲突中渔翁得利
n12970337,千瑞：末时景
n12970354,金浴凤：红楼春·文革招魂曲
n12971100,可可：广东警方威胁牛腾宇母亲的原因
n12971350,林泉：支持台湾艰苦抗疫共度时艰
n12971733,千百度：网友揭中共神化大陆水稻专家袁隆平
n12971787,【网海拾贝】“一带一路”博览会受西方冷遇
n12974125,【网海拾贝】14亿人到底是吃什么吃饱的？
n12976396,方能达：假借追悼袁隆平 中共虚情散臊腥
n12976478,【网海拾贝】中共党史就是土匪发家史
n12979096,【网海拾贝】只因你生在红色中国
n12981826,袁斌：“中国好声音”被叫停 网友：内地娱乐要完了
n12981880,【网海拾贝】中共政权就建立在谎言上
n12984194,林泉：躺平也是一种战斗
n12984276,【网海拾贝】必须查清中共病毒起源的真相
n12985505,林泉：论认命可以而躺平不行
n12985512,千百度：躺平主义和加速主义，哪个对社会冲击更大？
n12985578,【网海拾贝】中共何时对得起纳税人了？
n12987596,【网海拾贝】政法系大劫来临？
n12987749,李勇：FBI安邦定国故事（上）
n12989673,读者投书：非止六四
n12989778,理悟：大陆同胞，看好你的孩子
n12989806,汤姆：梳理三峡争议（3）——三峡大坝会发生溃坝吗？
n12987854,李勇：FBI安邦定国故事（下）
n12990644,千百度：中共放开生三胎 网民：“爱谁生谁生”
n12990730,【网海拾贝】共产党靠得住，母猪会上树
n12993569,陈达：逃大难赶早
n12994088,宋征时：我带考卷来维权
n12993483,【网海拾贝】中共砖家把老百姓当成了动物
n12998487,千百度：一位西双版纳建筑商的感恩
n12998706,【网海拾贝】中共欠全世界一个交代
n13000018,惠虎宇：三十年河东河西 放大历史视野看六四
n13000073,曾慧燕：怀念站在历史正确一边的许家屯
n13000121,戟枫：不远的记忆
n13000181,邵俊：32年前没有喊出的话
n13000215,金言：第三孩未投胎 段子手先出生
n13000277,曾慧燕：“六四绿卡”灵魂拷问
n13000414,理悟：计生变奏曲
n13000914,万古缘：被血漂起的日子
n13000920,颜纯钩：正义可能迟到，但不会永远缺席
n13000995,袁斌：又到六四 网民翻墙到海外网络表达哀思
n13001039,【网海拾贝】国安法下港人悼念“六四”的意义
n13001719,金浴凤：“六·四”的伤痕（两篇）
n13002713,【网海拾贝】中共屠杀了成千上万64抗议者
n13007051,【网海拾贝】反共是最大的政治正确
n13009626,古风：中共企图通过假美钞搞乱美国金融市场
n13009802,【网海拾贝】有一个地方的记忆 你怎么也抹不掉
n13012599,【网海拾贝】中共如何影响各国的报导
n13016128,【网海拾贝】内卷与躺平：中国的时代图腾
n13015218,千百度：是谁把海归博士姜文华逼成了杀人犯
n13017394,慧真：“三胎”民谣
n13017577,东方觉：奇事奇闻 雷人雷语
n13017785,【网海拾贝】中共抵制病毒起源调查令人生疑
n13018877,清竹：被邪灵附体后 该如何摆脱？
n13018923,祝君安：长相思‧躺平乐（外一篇）
n13018934,张彼特：给儿子的忠告
n13020674,李国涛：希望美国参众两院有正义之举
n13020728,【网海拾贝】病毒可怕，共产党更可怕！
n13022339,界立建：痛心疾首 勿忘六四
n13023101,【网海拾贝】中共最有可能是集体坏死
n13025387,关乐：韩战前后（上）
n13025475,袁斌：广东核电站泄漏，切尔诺贝利2.0？
n13025567,李春草：雨中花慢‧三朝国师（外一首）
n13025582,【网海拾贝】色厉内荏的中共百岁党庆
n13028138,【网海拾贝】中共已成世界秩序最大威胁
n13030033,吐为快：菩萨蛮
n13031717,【网海拾贝】民主国家结盟对抗中共的新时代
n13032944,唐付民：法制国家的标准
n13033784,李清：全球大疫需反省 远离中共保平安
n13034058,金浴凤：为叛党者喝彩
n13034084,吴新：中南海遭海难重
n13034093,郑纯清：科学靠不住 免疫在漂红
n13034113,关乐：韩战前后（下）
n13034374,罗慰年：韭菜与镰刀
n13035878,东方觉：奇闻奇事 雷人雷语
n13035986,魏京生：中美俄新三角关系
n13036627,【网海拾贝】共产党就是活生生的邪灵
n13041071,罗慰年：猪崇拜症
n13041140,颜纯钩：甘冒矢石竟粉身，于无声处听惊雷
n13041330,袁斌：50万美国人受奴役？网友打脸赵立坚
n13041377,【网海拾贝】七一的北京连只鸟都飞不进
n13043908,千百度：推翻爱因斯坦相对论？大陆教授被讽“丢人”
n13044397,李勇：谁是终结共产主义的最后一个人
n13044667,【网海拾贝】谁靠近中共谁倒楣
n13045595,祝君安：百年僵尸罄绝
n13046499,基督徒公义联盟：清算中共百年反人类罪行
n13046542,罗慰年：百年较量的拐点
n13046703,千百度：《苹果日报》不在了，但“苹果精神”长存
n13046795,【网海拾贝】向所有苹果人致敬
n13048941,【网海拾贝】港人雨中痛别《苹果日报》
n13048997,魏京生：从中共高官叛逃说起
n13050261,千百度：警察升港府二号 网友：枪杆子政权来了
n13050366,【网海拾贝】中共家法从未变也不会变
n13051601,理悟：毒誓难救命
n13051604,云鹤天：百年之后——中共外交部发言人答记者问
n13052020,陈思敏：中共党庆烟花秀遮不住天有异相
n13052425,【网海拾贝】新冠病毒溯源新发现直戳北京神经
n13054016,千瑞：千古一孽
n13054028,吐为快：玉楼春 · 人不治天治
n13055194,千百度：大陆网友吐槽核酸检测：窝了“一肚子火”
n13055258,李勇：香港报业大亨黎智英的传奇人生故事
